,Document,Treaty Name,Council Start Date,Council End Date,Council City,Council State,Speaker,Position,Native | Non-Native,Tribe or Ethnicity,Text,neg,pos,neu,compound,Negative,Positive,start_year,start_month,start_day,end_year,end_month,end_day
10,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speakers,,Native,Aghquessaine,A Deputation from the Aghquessaine Indians came to Sir William's Quarters accompanied by the Oneida chiefs whose interposition with him had been requested in order to accommodate the unhappy difference which had gone such lengths in their village that their Priest and many of their people would likely be murdered. A Belt. ,0.13,0.0,0.87,-0.802,True,False,1768,10,24,1768,11,5
11,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speaker,,Native,,"At night the chiefs came to Sir William told him that they had considered the proposals made by the Commissioners of Pennsylvania, & preferred the receiving the purchase in Cash, as the speediest payment which was agreed to & security given that the same should be paid in Six Weeks. The Speaker after repeating what Sir had said to them on the first Belt at the last Congress said. Brother, We thank you for what you have said & we are hopeful that you will observe your engagements as we mean to do on our parts; but as this will in a great measure depend upon the Colonies, We now desire their Representatives here present to do every thing for preserving those engagements and keeping their people in good order. A Belt. Then repeating what was said on the second Belt, said: Brother, We thank you for the advice you have given us not to listen to evil reports or lies. Brother, We approve of your caution and shall observe it, and we shall from time to time give us the the earliest intelligence of any such Reports & from whence they come. A Belt. Then in answer to Governor Francklin's Speech: Brother, We are glad to see that Governor Franklin is so well pleased with our having bestowed one of our own names upon him & are well pleased [to] hear you promise that he will always be ready to do us justice. We hope that all future Governors will act the same part. We acknowledge that several of our Nations now present were witnesses to the transaction at Easton & therefore acquit that Province of any demand and we have only to desire of him to follow your example in his future Conduct towards us, which will sufficiently recommend him and his people to our esteem. A Belt. Brother, The advice you gave us yesterday to continue firm and united and to live together as formerly we think it very salutary and intended for our Good. We are therefore intended to follow your advice shall lodge your Belt at our Fire place at Onondaga to the end that all our confederacy may have recourse to it & act accordingly. The Deed to His Majesty, that to the Proprietors of Pennsylvania, with that to the Traders being then laid on the Table were executed in the presence of the Governor, Commissioners, & the rest of the Gentlemen. After which the Chiefs of each Nation received the Cash which was piled on a Table for that purpose and then proceeded to divide the Goods amongst their People which occupied the remainder of that day.",0.029,0.164,0.807,0.9965,False,True,1768,10,24,1768,11,5
12,1779-09-26.txt,Treaty of 1779-09-26,1779-09-29,1779-09-29,Quebec City,Quebec,Acouestchichika,,Native,Chauvrons,"Warriors & my brothers, listen to what I have to say in this place. My father, give attention if you please, to what I say to you the chiefs & warriors. It is now nearly two years since our nation was first called your children being told, I will render you happy, abandon the chase & do not hesitate to carry out the King's orders. Here is a hatchet on his behalf against the Virginians. serve with courage & your happiness & that of your children will follow your obedience. Whenever we chiefs knew your intentions we put our warriors in the field who have not ceased to strike the enemies, informing them however of the danger to which we were exposed by his (the enemy's) nearness, reminding you that you had reassured us saying I know that the nearness of the Virginians will annoy you; but reassure yourselves only observe their march & if they attempt to cross the Ohio, let me know, & I will immediately come to your help with the nations which surround me. These are your own words. I am deputed to come & take you by the hand & lead you to the enemies who threaten us. we have seen that they have a good fort and in consequence you ought to be ready to march with us, make your entrenchments & assemble some children & when we are all together we will go to meet them, we would let you see the bravery of our young men & the good will which we all have to fight for you and with you. We do not prescribe to you what you should say to the other nations our brothers you know better than we, the reasons which would engage them to Join you for our succor. All the warriors who accompany me wait your answer to go quickly & carry it to our villages; as for me I wait the end of your preparations to follow you whereever you are called. With four strings. My father, in giving you this token of the fidelity of your children in executing your orders deign to promise us abundance for all our needs we need all things & you have no regard for what we ask; we would like to be well clothed & to use the same food as you do & above all drink that liquor has been first drunk with our ancestors by the whites & which we ask to drink at discretion. With a bunch of Tobacco. When God gave us this land as our share, he gave us at the same time this happy plant, which is called tobacco, it furnishes man with good ideas. That is why my father, I ask you to use it so that your thoughts will be conformable to ours.",0.05,0.143,0.807,0.993,False,True,1779,9,29,1779,9,29
13,1781-02-25.txt,Treaty of 1781-02-25,1781-02-25,1781-02-25,Miamis,,,,Native,Wea,"We flatter ourselves that you (Lacane) have always a French heart we invite you to come before us, for there you will preserve your village. We are risen to go to you, although the English regard us as ants, we regard them as the same. If they are conquerors, keep them for your fathers; but we although inferiors, we shall always be your proper fathers. On the part of the Piankeshaws, we Join in the word of the French, my elder brothers, you often remind yourselves of the old alliance which we have made, we would make only one body, we extend the hand and pray you to neglect nothing, time presses, we are certain that he will raise a strong party to go to Detroit and that you will suffer from them. By four strings of white wampum in the name of thirty villages of different nations not named, addressed to the Miamis, Hurons, Sauteaux, Ottawas, Potawatomis, Chairenous, Loups and all those who are on the King of England's side. We have risen to cut down all that we shall find before us, we would warn you to take good care of yourselves, to keep yourselves quiet not to alarm yourselves at our passage, we are so powerful that we look upon the men of the Lakes as nothing, not more than your father the English. You are all fools who listen to the English, who amuse us with the porcelain axes. As for ours it is so heavy that nothing can resist it, you will feel it then (throwing the strings to the earth) there is how I would treat those who will not be guided by the present speech, as for you, Miamis we know that you will do nothing till after the others.",0.056,0.141,0.803,0.9816,False,True,1781,2,25,1781,2,25
14,1781-03-09.txt,Treaty of 1781-03-09,1781-03-09,1781-03-09,,,,Miamis Chief,Native,Miamis,"Chiefs. By four strings of wampum black, and by four others, addressed to their allies. My Father We do not hesitate to ask your assistance and that of all your children, we cannot get over that you have a good heart to help the children, we are inclined to go to Post Vincennes. we can do nothing without you. My father, you see that it is necessity compels us to make this demand; in this place you render all the children happy, on the contrary if we let it exist it is the help of our enemies and the cause of all the troubles among the nations. this is the best time to do it, we pray you to grant us our request, and to make all haste possible. time presses as for our allies who are near you, we are certain that they are always ready to revenge the death of our father and that of our brothers the Outanais, these are the promises that Egouchionois has made. We ask you all to join us in this undertaking. it is of interest to us all. this is the most dangerous place which we have in this part. My brother, you know the men of the Wabash as we do. you will find, properly, that we have no faith in them, and that we take precautions on our passage having a party of whites and a few of all the nations who are near, the number increases every day. On the contrary if they leave this post in peace the number of his children will diminish, for we think and flatter ourselves that we will not abandon you. This is the best time to ensure a great peace. My father, we extend the hand and pray thee to let us know your sentiments on this subject we take measures to make the canoes of elm. This is the true time to make all peaceable.",0.057,0.203,0.74,0.9939,False,True,1781,3,9,1781,3,9
15,1781-03-11.txt,Treaty of 1781-03-11,1781-03-11,1781-03-11,Detroit,Michigan,Assimut,Chief of the Potawatomi,Native,Potawatomi,"FATHER, I am hired by the Potawatomi at and near St. Joseph's, to acquaint you with the Reasons of having suffered the Enemy to carry off their Traders. They came to St. Joseph's at a time that all the Indians were yet at their hunt, excepting a few young men who were not sufficient to oppose one hundred white People and Eighty Indians led by Seguinack and Makewine, who deceived them by telling them that it was the Sentiment of the Indians in general to assist the French and Spaniards. Had we assembled in time, we would nevertheless have given them such a stroke as we gave those who came to St. Joseph's a few moons before. We therefore hope our Father will take pity on us and not leave us to the Mercy of the Enemy, who threaten soon to come and destroy our Women & Children.",0.134,0.041,0.825,-0.9418,True,False,1781,3,11,1781,3,11
16,1781-03-11.txt,Treaty of 1781-03-11,1781-03-11,1781-03-11,Detroit,Michigan,Wawiaghtenou,Chief of the Potawatomi,Native,Potawatomi,"Father, I rise to speak in behalf of the Potawatomi of St. Joseph's, I desire in the Name of our Nation, the Ottawas and Chippewas that you will not abandon them to the Mercy of the Enemy. I am convinced they were no ways in concert with the Enemy and therefore hope you will have pity on them. Father! In calling to mind the Bones of our Ancestors, you draw tears from me. have pity of them, and I'll engage they will raise Mountains over their graves.",0.172,0.149,0.679,-0.3369,True,False,1781,3,11,1781,3,11
17,1781-10-29.txt,Treaty of 1781-10-29,1781-10-29,1781-10-29,Detroit,Michigan,Miami Chief,Chief of the Potawatomi,Native,Miamis,"Father! I am sent into you from our Chiefs in all haste for Powder & Ball, the Dried meat you see here (Seven Scalps) is the produce of our Warriours who desire it to be presented to you. Father! Do not be surprised when you see but young men before you, since we are sent by our Chiefs to address you in their names. Our Chiefs with about Seventy warriours were on their way hither in order to see you, but were obliged to return to our Village immediately, on having had the report from a runner detached from thence that the Enemy was advancing towards the Miami Town from St Vincennes. When we say the Enemy, we wish you should know that it consists of French, Indians and Rebels the courier reports further, that on the arrival of the Rebel forces at St Vincennes, a Kickapoo and a Ottawa Indian were confined, as they were at that place to ask presents.",0.101,0.031,0.868,-0.8972,True,False,1781,10,29,1781,10,29
18,1781-10-29.txt,Treaty of 1781-10-29,1781-10-29,1781-10-29,Detroit,Michigan,Miamis Chief,,Native,Miamis,"Father! as the Danger is evident, our chiefs have recommended to us to be diligent & to look upon our journey hither as absolutely necessary, in short to apprize you of the future route of the Enemy and the necessity of forwarding immediately ammunition in order to enable us to defend ourselves, as we are entirely unprovided and can do nothing without assistance. Our Chiefs have recommended to us strongly to pray of you not to think anything too precious for the young warriors, but give them freely which you will do to us as Deputies and warriors who have been this summer for the King's cause against the Enemy, and after you have furnished us all with arms & precious clothing, we hope you'll be good enough to give us in profusion of that Shining Metal, an ornament which draws the attention of the Warriors, which is the true way of engaging them, their lives, and their blood to the King. Father! We pray of you to do agreeable to our desires, and the Demands of our Chiefs by doing which, you'll conciliate their regard. Extract from the minutes.",0.042,0.187,0.771,0.9838,False,True,1781,10,29,1781,10,29
19,1782-04-22.txt,Treaty of 1782-04-22,1782-04-22,1782-04-22,Detroit,Michigan,Misshikinackwaa,Chief,Native,Wea,"Father ! Since I have undertaken to fight for the English I have received three War Belts and have been out against the Enemy three different times I have been always successful but not quite to your wishes nor my own the great Spirit has ordered it to be so. Father ! You see here part of those who made the last Campaign, who have done nothing but taking Prisoners and have not as yet spilt Blood, we are now desirous to know from the Indians in this Quarter how we are to act in future. delivers the War Belt. Father ! You see some of my people who with me think themselves en- titled to demand of you a supply of cloathing and necessaries for ourselves, our Wives and Children as we are the only people from our Village who have acted for the King. Some of our Chiefs and Warriours of our Village are now speaking with the rebels having left the Village with that intent. delivers several strings. Father ! You see here the fruits of my Campaign (two Prisoners) one of which I had adopted in lieu of a Brother as he is a Loyalist but as I know it will give you pleasure to have him I will therefore forego the happiness by giving him up to you. Father ! As there are some of our people who have skins with them I have to request of you to permit them to trade with the Traders. Father ! The long journey in the cold season we have had prompts us to pray of you to order us an ox that we may drink broth. delivers several strings Wampum Father ! I shall say but a few words more to you which is to beg of you to dispatch us immediately homewards as we are bordering on the Enemies Gates""",0.058,0.113,0.829,0.9666,False,True,1782,4,22,1782,4,22
